URL,Type,Size,Levels,Garage,Taxes,MLS Number,Price,address,garage,bedroom,bathroom,date released
https://www.zoocasa.com/vancouver-bc-real-estate/2551-w-35th-ave,Single Family Residence,4696 sqft,Residential,Yes,"$15,242",R2901333,"$4,680,000"," 2551 W 35 Th Ave, Vancouver, British Columbia",2,7,6,1986
https://www.zoocasa.com/vancouver-bc-real-estate/thames-court/13-5880-hampton-pl,Townhouse,1692 sqft,Residential,Yes,"$2,556",R2914867,"$1,538,000"," 13 - 5880 Hampton Pl, Vancouver, British Columbia",2,2,3,1992
https://www.zoocasa.com/vancouver-bc-real-estate/rhythm/1007-3281-e-kent-ave-n,Apartment/Condominium,895 sqft,Residential,Yes,"$2,372",R2913151,"$760,000"," 1007 - 3281 E Kent Ave N, Vancouver, British Columbia",1,2,2,2017
https://www.zoocasa.com/vancouver-bc-real-estate/shaughnessy/3737-pine-cres,Single Family Residence,4393 sqft,Residential,Yes,"$30,370",R2919069,"$5,888,000"," 3737 Pine Cres, Vancouver, British Columbia",4,5,4,1930
https://www.zoocasa.com/vancouver-bc-real-estate/2308-939-expo-blvd,Apartment/Condominium,664 sqft,Residential,Yes,"$2,220",R2912532,"$699,000"," 2308 - 939 Expo Blvd, Vancouver, British Columbia",1,1,1,2005
https://www.zoocasa.com/vancouver-bc-real-estate/5957-chancellor-blvd,Single Family Residence,5957 sqft,Residential,Yes,"$38,744",R2917489,"$13,800,000"," 5957 Chancellor Blvd, Vancouver, British Columbia",4,6,6,2012
https://www.zoocasa.com/vancouver-bc-real-estate/ivy-on-the-park/406-5629-birney-ave,Apartment/Condominium,774 sqft,Residential,Yes,"$1,839",R2913806,"$1,128,000"," 406 - 5629 Birney Ave, Vancouver, British Columbia",1,2,2,2021
https://www.zoocasa.com/vancouver-bc-real-estate/kitsilano/306-1858-w-5th-ave,Apartment/Condominium,624 sqft,Residential,Yes,"$2,327",R2906074,"$799,000"," 306 - 1858 W 5th Ave, Vancouver, British Columbia",1,1,1,2001
https://www.zoocasa.com/vancouver-bc-real-estate/mount-pleasant/513-180-e-2nd-ave,Apartment/Condominium,556 sqft,Residential,Yes,"$2,009",R2914969,"$690,000"," 513 - 180 E 2nd Ave, Vancouver, British Columbia",1,1,1,2021
https://www.zoocasa.com/vancouver-bc-real-estate/marpole/8335-french-st,Townhouse,1154 sqft,Residential,Yes,,R2897625,"$1,489,900"," 8335 French St, Vancouver, British Columbia",1,3,3,2024
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/704-499-broughton-st,Apartment/Condominium,1269 sqft,Residential,Yes,"$4,209",R2907761,"$1,699,000"," 704 - 499 Broughton St, Vancouver, British Columbia",1,2,2,2003
https://www.zoocasa.com/vancouver-bc-real-estate/riley-park/505-5058-cambie-st,Apartment/Condominium,1205 sqft,Residential,Yes,"$5,022",R2899592,"$1,990,000"," 505 - 5058 Cambie St, Vancouver, British Columbia",2,3,2,2020
https://www.zoocasa.com/vancouver-bc-real-estate/310-2220-kingsway,Apartment/Condominium,520 sqft,Residential,Yes,"$1,482",R2903890,"$569,000"," 310 - 2220 Kingsway, Vancouver, British Columbia",1,1,1,2018
https://www.zoocasa.com/vancouver-bc-real-estate/west-end/ph4-1238-burrard-st,Apartment/Condominium,876 sqft,Residential,Yes,"$2,251",R2909251,"$899,000"," PH4 - 1238 Burrard St, Vancouver, British Columbia",1,2,2,2003
https://www.zoocasa.com/vancouver-bc-real-estate/victoria-fraserview/6993-argyle-st,Single Family Residence,1911 sqft,Residential,Yes,"$7,575",R2910568,"$1,999,000"," 6993 Argyle St, Vancouver, British Columbia",4,4,2,1952
https://www.zoocasa.com/vancouver-bc-real-estate/revive-phase-2/48-6808-ash-st,Townhouse,1109 sqft,Residential,No,,R2906736,"$1,648,800"," 48 - 6808 Ash St, Vancouver, British Columbia",0,2,2,2024
https://www.zoocasa.com/vancouver-bc-real-estate/university-hill/22-1863-wesbrook-mall,Apartment/Condominium,476 sqft,Residential,Yes,$761,R2917456,"$598,000"," 22 - 1863 Wesbrook Mall, Vancouver, British Columbia",1,0,1,2005
https://www.zoocasa.com/vancouver-bc-real-estate/kensington-cedar-cottage/5073-ross-st,Single Family Residence,2230 sqft,Residential,Yes,"$6,253",R2906714,"$1,799,000"," 5073 Ross St, Vancouver, British Columbia",0,5,2,1964
https://www.zoocasa.com/vancouver-bc-real-estate/kits-point/2078-88-creelman-ave,Duplex,5840 sqft,Residential Income,No,"$20,107",R2917077,"$4,999,999"," 2078-88 Creelman Ave, Vancouver, British Columbia",0,8,4,1926
https://www.zoocasa.com/vancouver-bc-real-estate/alberni-by-kengo-kuma/3204-1568-alberni-st,Apartment/Condominium,1417 sqft,Residential,Yes,"$15,190",R2912176,"$5,499,000"," 3204 - 1568 Alberni St, Vancouver, British Columbia",1,2,2,2024
https://www.zoocasa.com/vancouver-bc-real-estate/west-end/804-1568-alberni-st,Apartment/Condominium,1105 sqft,Residential,No,,R2910651,"$2,599,000"," 804 - 1568 Alberni St, Vancouver, British Columbia",1,2,2,2023
https://www.zoocasa.com/vancouver-bc-real-estate/211-677-41st-ave-w,Apartment/Condominium,948 sqft,Residential,Yes,"$3,273",R2902754,"$1,236,000"," 211 - 677 41 St Ave W, Vancouver, British Columbia",1,2,2,2017
https://www.zoocasa.com/vancouver-bc-real-estate/206-1399-barclay-st,Apartment/Condominium,660 sqft,Residential,Yes,"$1,916",R2919773,"$699,000"," 206 - 1399 Barclay St, Vancouver, British Columbia",1,1,1,1986
https://www.zoocasa.com/vancouver-bc-real-estate/17-6033-gray-ave,Apartment/Condominium,914 sqft,Residential,Yes,"$1,815",R2906844,"$1,168,000"," 17 - 6033 Gray Ave, Vancouver, British Columbia",1,2,2,2015
https://www.zoocasa.com/vancouver-bc-real-estate/1542-2nd-ave-w,,828 sqft,Business Opportunity,No,,C8061124,$X,N/A,0,0,0,
https://www.zoocasa.com/vancouver-bc-real-estate/kitsilano/1-2437-w-1st-ave,Townhouse,1209 sqft,Residential,Yes,"$4,010",R2896166,"$1,475,000"," 1 - 2437 W 1st Ave, Vancouver, British Columbia",1,2,2,2012
https://www.zoocasa.com/vancouver-bc-real-estate/dunbar-southlands/3617-w-35th-ave,Single Family Residence,3891 sqft,Residential,Yes,"$19,757",R2913743,"$5,300,000"," 3617 W 35th Ave, Vancouver, British Columbia",3,5,6,2009
https://www.zoocasa.com/vancouver-bc-real-estate/dunbar-southlands/3979-w-33rd-ave,Single Family Residence,3033 sqft,Residential,Yes,"$17,080",R2918237,"$4,380,000"," 3979 W 33rd Ave, Vancouver, British Columbia",2,7,3,1987
https://www.zoocasa.com/vancouver-bc-real-estate/dunbar-southlands/3123-w-27th-ave,Single Family Residence,2564 sqft,Residential,Yes,"$12,397",R2917479,"$3,490,000"," 3123 W 27 Th Ave, Vancouver, British Columbia",2,4,3,1996
https://www.zoocasa.com/vancouver-bc-real-estate/tate/1810-1283-howe-st,Apartment/Condominium,613 sqft,Residential,Yes,"$2,191",R2911401,"$779,000"," 1810 - 1283 Howe St, Vancouver, British Columbia",1,1,1,2019
https://www.zoocasa.com/vancouver-bc-real-estate/pinnacle-on-the-park/505-1708-ontario-st,Apartment/Condominium,584 sqft,Residential,Yes,"$2,288",R2911353,"$769,000"," 505 - 1708 Ontario St, Vancouver, British Columbia",1,1,1,2019
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/618-610-granville-st,Apartment/Condominium,546 sqft,Residential,Yes,"$1,754",R2919904,"$549,880"," 618 - 610 Granville St, Vancouver, British Columbia",1,0,1,2006
https://www.zoocasa.com/vancouver-bc-real-estate/ph-1001-2851-heather-st,Apartment/Condominium,999 sqft,Residential,Yes,"$3,808",R2915678,"$1,248,000"," PH-1001 - 2851 Heather St, Vancouver, British Columbia",1,2,2,2008
https://www.zoocasa.com/vancouver-bc-real-estate/the-waterworks-at-marina-pointe/1028-cambie-st,Apartment/Condominium,1230 sqft,Residential,Yes,"$4,065",R2915031,"$1,599,000"," 1028 Cambie St, Vancouver, British Columbia",2,2,2,1997
https://www.zoocasa.com/vancouver-bc-real-estate/west-end/5004-1128-w-georgia-st,Apartment/Condominium,2387 sqft,Residential,Yes,"$14,497",R2897268,"$4,780,000"," 5004 - 1128 W Georgia St, Vancouver, British Columbia",2,3,2,2008
https://www.zoocasa.com/vancouver-bc-real-estate/3582-king-edward-ave-w,Single Family Residence,3018 sqft,Residential,No,"$9,323",R2892625,"$5,000,000"," 3582 King Edward Ave W, Vancouver, British Columbia",0,5,3,1930
https://www.zoocasa.com/vancouver-bc-real-estate/4188-slocan-st,Multi Family,1318 sqft,Residential,Yes,"$6,215",R2919348,"$1,498,000"," 4188 Slocan St, Vancouver, British Columbia",1,3,3,2024
https://www.zoocasa.com/vancouver-bc-real-estate/sunset/6414-chester-st,Multi Family,1643 sqft,Residential,Yes,"$5,199",R2897281,"$1,649,000"," 6414 Chester St, Vancouver, British Columbia",2,4,4,2020
https://www.zoocasa.com/vancouver-bc-real-estate/rosedale-on-robson-suite-hotel/1009-838-hamilton-st,Apartment/Condominium,595 sqft,Residential,No,"$1,015",R2905835,"$350,000"," 1009 - 838 Hamilton St, Vancouver, British Columbia",0,2,1,1995
https://www.zoocasa.com/vancouver-bc-real-estate/6949-mckinnon-st,Single Family Residence,1490 sqft,Residential,No,"$7,520",R2919852,"$1,750,000"," 6949 Mckinnon St, Vancouver, British Columbia",2,4,2,1950
https://www.zoocasa.com/vancouver-bc-real-estate/the-mansion-house-estates-ltd/605-6076-tisdall-st,Apartment/Condominium,820 sqft,Residential,No,,R2910681,"$499,000"," 605 - 6076 Tisdall St, Vancouver, British Columbia",1,1,1,1961
https://www.zoocasa.com/vancouver-bc-real-estate/wsix/514-1529-w-6th-ave,Apartment/Condominium,988 sqft,Residential,Yes,"$3,162",R2893506,"$1,399,000"," 514 - 1529 W 6 Th Ave, Vancouver, British Columbia",1,1,2,1999
https://www.zoocasa.com/vancouver-bc-real-estate/the-eden/1801-1225-richards-st,Apartment/Condominium,510 sqft,Residential,No,"$1,917",R2911295,"$659,000"," 1801 - 1225 Richards St, Vancouver, British Columbia",1,1,1,2004
https://www.zoocasa.com/vancouver-bc-real-estate/3006-833-homer-st,Apartment/Condominium,686 sqft,Residential,Yes,"$2,458",R2916376,"$849,000"," 3006 - 833 Homer St, Vancouver, British Columbia",1,1,1,2010
https://www.zoocasa.com/vancouver-bc-real-estate/3187-broadway-e,Single Family Residence,2698 sqft,Residential,No,"$7,358",R2903517,"$4,000,000"," 3187 Broadway E, Vancouver, British Columbia",2,7,2,1964
https://www.zoocasa.com/vancouver-bc-real-estate/west-wind/709-5380-crooked-branch-rd,Apartment/Condominium,558 sqft,Residential,Yes,"$1,250",R2898757,"$855,000"," 709 - 5380 Crooked Branch Rd, Vancouver, British Columbia",1,1,1,2024
https://www.zoocasa.com/vancouver-bc-real-estate/monument/403-2485-larch-st,Apartment/Condominium,1240 sqft,Residential,Yes,"$6,201",R2918186,"$2,093,000"," 403 - 2485 Larch St, Vancouver, British Columbia",2,2,2,2022
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/605-150-e-cordova-st,Apartment/Condominium,526 sqft,Residential,No,"$1,257",R2907343,"$454,000"," 605 - 150 E Cordova St, Vancouver, British Columbia",0,1,1,2016
https://www.zoocasa.com/vancouver-bc-real-estate/victoria-fraserview/2028-e-42nd-ave,Multi Family,1400 sqft,Residential,Yes,"$4,862",R2918223,"$1,699,000"," 2028 E 42nd Ave, Vancouver, British Columbia",1,5,3,2021
https://www.zoocasa.com/vancouver-bc-real-estate/809-4638-gladstone-st,Apartment/Condominium,903 sqft,Residential,Yes,"$2,609",R2912223,"$899,700"," 809 - 4638 Gladstone St, Vancouver, British Columbia",1,2,2,2018
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/601-128-w-cordova-st,Apartment/Condominium,889 sqft,Residential,Yes,"$2,177",R2908770,"$788,800"," 601 - 128 W Cordova St, Vancouver, British Columbia",1,2,2,2009
https://www.zoocasa.com/vancouver-bc-real-estate/park-langara/212-6859-cambie-st,Apartment/Condominium,767 sqft,Residential,Yes,,R2903117,"$943,900"," 212 - 6859 Cambie St, Vancouver, British Columbia",1,2,2,2025
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/4202-1189-melville-st,Apartment/Condominium,882 sqft,Residential,Yes,"$4,135",R2901578,"$1,575,000"," 4202 - 1189 Melville St, Vancouver, British Columbia",2,2,2,2007
https://www.zoocasa.com/vancouver-bc-real-estate/west-end/6c-1500-alberni-st,Apartment/Condominium,1683 sqft,Residential,Yes,"$4,633",R2896807,"$1,738,000"," 6C - 1500 Alberni St, Vancouver, British Columbia",2,2,2,1991
https://www.zoocasa.com/vancouver-bc-real-estate/sunset/374-e-54th-ave,Single Family Residence,1916 sqft,Residential,Yes,"$6,939",R2902222,"$1,899,000"," 374 E 54th Ave, Vancouver, British Columbia",2,5,3,1959
https://www.zoocasa.com/vancouver-bc-real-estate/university-hill/501-5629-birney-ave,Apartment/Condominium,1017 sqft,Residential,Yes,"$2,260",R2905595,"$1,399,000"," 501 - 5629 Birney Ave, Vancouver, British Columbia",1,2,2,2021
https://www.zoocasa.com/vancouver-bc-real-estate/connaught-court/2-1610-roxburgh-cres,Townhouse,2288 sqft,Residential,Yes,,R2901167,"$3,790,000"," 2 - 1610 Roxburgh Cres, Vancouver, British Columbia",2,3,3,2026
https://www.zoocasa.com/vancouver-bc-real-estate/west-point-grey/3850-point-grey-rd,Single Family Residence,5011 sqft,Residential,Yes,"$20,551",R2901913,"$6,888,000"," 3850 Point Grey Rd, Vancouver, British Columbia",5,4,5,1952
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/1608-1033-marinaside-cres,Apartment/Condominium,1047 sqft,Residential,Yes,"$3,153",R2895634,"$1,368,000"," 1608 - 1033 Marinaside Cres, Vancouver, British Columbia",2,2,2,2001
https://www.zoocasa.com/vancouver-bc-real-estate/marpole/8056-haig-st,Multi Family,1381 sqft,Residential,Yes,"$5,645",R2905708,"$1,990,000"," 8056 Haig St, Vancouver, British Columbia",2,3,3,2023
https://www.zoocasa.com/vancouver-bc-real-estate/west-end/3-1861-beach-ave,Apartment/Condominium,2463 sqft,Residential,Yes,"$9,891",R2901684,"$3,500,000"," 3 - 1861 Beach Ave, Vancouver, British Columbia",2,3,2,1987
https://www.zoocasa.com/vancouver-bc-real-estate/503-1000-beach-ave,Apartment/Condominium,792 sqft,Residential,Yes,"$2,351",R2917423,"$758,000"," 503 - 1000 Beach Ave, Vancouver, British Columbia",1,1,1,1991
https://www.zoocasa.com/vancouver-bc-real-estate/bourbon-court/210-1940-barclay-st,Apartment/Condominium,453 sqft,Residential,Yes,"$1,269",R2907853,"$455,000"," 210 - 1940 Barclay St, Vancouver, British Columbia",1,0,1,1958
https://www.zoocasa.com/vancouver-bc-real-estate/mount-pleasant/236-w-12th-ave,Single Family Residence,4335 sqft,Residential,No,"$7,828",R2901396,"$3,498,000"," 236 W 12th Ave, Vancouver, British Columbia",4,4,4,1910
https://www.zoocasa.com/vancouver-bc-real-estate/south-cambie/936-w-37th-ave,Single Family Residence,3145 sqft,Residential,Yes,"$13,401",R2897647,"$5,500,000"," 936 W 37th Ave, Vancouver, British Columbia",1,5,1,1950
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/702-1188-howe-st,Apartment/Condominium,550 sqft,Residential,Yes,"$1,624",R2913810,"$568,000"," 702 - 1188 Howe St, Vancouver, British Columbia",1,1,1,1994
https://www.zoocasa.com/vancouver-bc-real-estate/firenze-ii/2309-688-abbott-st,Apartment/Condominium,603 sqft,Residential,Yes,"$2,077",R2910577,"$725,000"," 2309 - 688 Abbott St, Vancouver, British Columbia",1,1,1,2007
https://www.zoocasa.com/vancouver-bc-real-estate/1101-1818-alberni-st,Apartment/Condominium,2301 sqft,Residential,Yes,,R2902721,"$4,731,900"," 1101 - 1818 Alberni St, Vancouver, British Columbia",2,3,3,2027
https://www.zoocasa.com/vancouver-bc-real-estate/south-cambie/576-w-37th-ave,Single Family Residence,2225 sqft,Residential,Yes,"$22,508",R2915718,"$7,800,000"," 576 W 37th Ave, Vancouver, British Columbia",0,6,1,1953
https://www.zoocasa.com/vancouver-bc-real-estate/west-point-grey/4411-w-4th-ave,Land Only,-,Land,No,"$32,980",R2913745,"$5,996,000"," 4411 W 4th Ave, Vancouver, British Columbia",0,0,0,
https://www.zoocasa.com/vancouver-bc-real-estate/406-3050-kingsway,Apartment/Condominium,727 sqft,Residential,Yes,"$2,107",R2913799,"$739,000"," 406 - 3050 Kingsway, Vancouver, British Columbia",1,2,2,2023
https://www.zoocasa.com/vancouver-bc-real-estate/popolo/205-2235-broadway-e,Apartment/Condominium,835 sqft,Residential,Yes,,R2909096,"$975,000"," 205 - 2235 Broadway E, Vancouver, British Columbia",2,2,2,2024
https://www.zoocasa.com/vancouver-bc-real-estate/marpole/104-7520-columbia-st,Apartment/Condominium,1125 sqft,Residential,Yes,"$2,305",R2860413,"$829,000"," 104 - 7520 Columbia St, Vancouver, British Columbia",1,2,2,1988
https://www.zoocasa.com/vancouver-bc-real-estate/grandview-woodland/2296-cambridge-st,Single Family Residence,1980 sqft,Residential,No,"$8,384",R2903744,"$2,750,000"," 2296 Cambridge St, Vancouver, British Columbia",0,3,1,1929
https://www.zoocasa.com/vancouver-bc-real-estate/kensington-gardens/608-2220-kingsway,Apartment/Condominium,1056 sqft,Residential,Yes,"$2,800",R2895306,"$1,099,900"," 608 - 2220 Kingsway, Vancouver, British Columbia",1,2,2,2018
https://www.zoocasa.com/vancouver-bc-real-estate/eden/904-1225-richards-st,Apartment/Condominium,598 sqft,Residential,Yes,"$2,099",R2913219,"$678,000"," 904 - 1225 Richards St, Vancouver, British Columbia",1,1,1,2003
https://www.zoocasa.com/vancouver-bc-real-estate/kerrisdale/7059-cypress-st,Townhouse,1419 sqft,Residential,No,,R2904077,"$1,888,000"," 7059 Cypress St, Vancouver, British Columbia",1,4,3,2023
https://www.zoocasa.com/vancouver-bc-real-estate/marpole/8303-french-st,Townhouse,1388 sqft,Residential,Yes,,R2897658,"$1,749,900"," 8303 French St, Vancouver, British Columbia",1,3,2,9999
https://www.zoocasa.com/vancouver-bc-real-estate/eila-on-w49/920-49th-ave-w,Townhouse,1305 sqft,Residential,Yes,,R2917555,"$1,699,900"," 920 49 Th Ave W, Vancouver, British Columbia",1,3,2,2023
https://www.zoocasa.com/vancouver-bc-real-estate/mount-pleasant/226-2888-cambie-st,Apartment/Condominium,924 sqft,Residential,Yes,"$3,458",R2905862,"$1,200,000"," 226 - 2888 Cambie St, Vancouver, British Columbia",1,2,2,2017
https://www.zoocasa.com/vancouver-bc-real-estate/west-end/1207-1028-barclay-st,Apartment/Condominium,663 sqft,Residential,Yes,"$2,484",R2916474,"$828,000"," 1207 - 1028 Barclay St, Vancouver, British Columbia",1,1,1,2011
https://www.zoocasa.com/vancouver-bc-real-estate/6950-kerr-st,Single Family Residence,1704 sqft,Residential,Yes,"$7,131",R2918209,"$1,988,000"," 6950 Kerr St, Vancouver, British Columbia",2,4,2,1950
https://www.zoocasa.com/vancouver-bc-real-estate/one-harbour-green/802-1169-w-cordova-st,Apartment/Condominium,2259 sqft,Residential,Yes,"$23,064",R2914898,"$5,868,000"," 802 - 1169 W Cordova St, Vancouver, British Columbia",4,2,2,2006
https://www.zoocasa.com/vancouver-bc-real-estate/pinnacle-on-the-park/1803-1708-ontario-st,Apartment/Condominium,1623 sqft,Residential,Yes,"$7,811",R2899910,"$3,600,000"," 1803 - 1708 Ontario St, Vancouver, British Columbia",2,4,3,2019
