URL,Type,Size,Levels,Garage,Taxes,MLS Number,Price,address,garage,bedroom,bathroom,date released
https://www.zoocasa.com/vancouver-bc-real-estate/kensington-cedar-cottage/3810-fleming-st,Townhouse,1179 sqft,Residential,Yes,"$4,022",R2936344,"$1,449,000"," 3810 Fleming St, Vancouver, British Columbia",1,3,2,2017
https://www.zoocasa.com/vancouver-bc-real-estate/fairview/401-2628-ash-st,Apartment/Condominium,1437 sqft,Residential,Yes,"$3,209",R2937542,"$1,350,000"," 401 - 2628 Ash St, Vancouver, British Columbia",2,2,2,1989
https://www.zoocasa.com/vancouver-bc-real-estate/killarney/3116-e-62nd-ave,Single Family Residence,2486 sqft,Residential,Yes,"$8,588",R2938687,"$2,199,000"," 3116 E 62nd Ave, Vancouver, British Columbia",4,5,3,1973
https://www.zoocasa.com/vancouver-bc-real-estate/707-888-pacific-st,Apartment/Condominium,530 sqft,Residential,Yes,"$1,446",R2939283,"$579,000"," 707 - 888 Pacific St, Vancouver, British Columbia",1,1,1,1994
https://www.zoocasa.com/vancouver-bc-real-estate/2022-william-st,Single Family Residence,1899 sqft,Residential,No,"$6,385",R2937968,"$1,560,000"," 2022 William St, Vancouver, British Columbia",0,6,2,1911
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/3002-1211-melville-st,Apartment/Condominium,1268 sqft,Residential,Yes,"$4,736",R2938448,"$1,588,000"," 3002 - 1211 Melville St, Vancouver, British Columbia",1,3,2,2008
https://www.zoocasa.com/vancouver-bc-real-estate/templeton/153-2230-e-1st-ave,Townhouse,1255 sqft,Residential,Yes,,R2939593,"$1,526,900"," 153 - 2230 E 1 St Ave, Vancouver, British Columbia",1,3,2,2025
https://www.zoocasa.com/vancouver-bc-real-estate/oakridge/6129-oak-st,Townhouse,1631 sqft,Residential,Yes,"$4,806",R2938198,"$1,688,000"," 6129 Oak St, Vancouver, British Columbia",2,3,2,2009
https://www.zoocasa.com/vancouver-bc-real-estate/8263-oak-st,,1075 sqft,Business Opportunity,No,,C8063483,$X,N/A,0,0,0,1949
https://www.zoocasa.com/vancouver-bc-real-estate/the-springs-at-langara/7603-whitespray-dr,Townhouse,1649 sqft,Residential,Yes,"$3,853",R2934011,"$1,360,000"," 7603 Whitespray Dr, Vancouver, British Columbia",2,2,2,1987
